SP1,27/09/2018,Alaves,Getafe,1,1,null,null,null,null,null,null,2,2,2,2,3,2,1,5,1,0.67,0.33,1.67;
SP1,27/09/2018,Girona,Betis,0,1,null,null,null,null,null,null,2,2,1,1,4,7,0,1,1,1.75,0,0.33;
SP1,27/09/2018,Valladolid,Levante,2,1,null,null,null,null,null,null,1,1,1,1,2,3,6,1,0.67,1,2,0.33;
SP1,28/09/2018,Vallecano,Espanol,2,2,null,null,null,null,null,null,1,1,1,1,4,11,6,4,1.33,3.67,1.5,1;
SP1,29/09/2018,Barcelona,Ath Bilbao,1,1,null,null,null,null,null,null,1,1,1,1,14,5,3,3,3.5,1.25,1.5,1.5;
SP1,29/09/2018,Eibar,Sevilla,1,3,null,null,null,null,null,null,3,3,2,2,5,6,8,10,1.25,1.5,2,2.5;
SP1,29/09/2018,Real Madrid,Ath Madrid,0,0,null,null,null,null,null,null,3,3,2,2,7,1,3,3,1.75,0.25,0.75,0.75;
SP1,29/09/2018,Sociedad,Valencia,0,1,null,null,null,null,null,null,1,1,1,1,3,5,4,3,1,1.67,1,0.75;
SP1,30/09/2018,Betis,Leganes,1,0,null,null,null,null,null,null,1,1,1,1,4,5,7,3,1,1.25,1.75,0.75;
SP1,30/09/2018,Huesca,Girona,1,1,null,null,null,null,null,null,1,1,1,1,1,3,3,4,0.33,1,1,1.33;
SP1,30/09/2018,Levante,Alaves,2,1,null,null,null,null,null,null,1,1,3,3,7,11,3,10,1.75,2.75,0.75,2.5;
SP1,30/09/2018,Villarreal,Valladolid,0,1,null,null,null,null,null,null,1,1,1,1,1,4,3,4,0.25,1,0.75,1;
SP1,01/10/2018,Celta,Getafe,1,1,null,null,null,null,null,null,1,1,1,1,7,5,2,6,1.75,1.25,0.5,1.5;
SP1,05/10/2018,Ath Bilbao,Sociedad,1,3,null,null,null,null,null,null,1,1,2,2,6,10,7,8,1.2,2,1.4,1.6;
SP1,06/10/2018,Alaves,Real Madrid,1,0,null,null,null,null,null,null,1,1,1,1,4,2,6,5,1,0.5,1.5,1.25;
SP1,06/10/2018,Getafe,Levante,0,1,null,null,null,null,null,null,1,1,1,1,2,3,6,2,0.5,0.75,1.5,0.5;
SP1,06/10/2018,Girona,Eibar,2,3,null,null,null,null,null,null,1,1,1,1,6,10,6,4,1.2,2,1.5,1;
SP1,06/10/2018,Leganes,Vallecano,1,0,null,null,null,null,null,null,2,2,1,1,5,4,4,3,1.25,1,1,0.75;
SP1,07/10/2018,Ath Madrid,Betis,1,0,null,null,null,null,null,null,2,2,2,2,6,1,1,1,1.5,0.25,0.25,0.25;
SP1,07/10/2018,Espanol,Villarreal,3,1,null,null,null,null,null,null,4,4,3,3,7,1,3,5,1.75,0.25,0.75,1.25;
SP1,07/10/2018,Sevilla,Celta,2,1,null,null,null,null,null,null,2,2,1,1,5,3,7,6,1.25,0.75,1.75,1.5;
SP1,07/10/2018,Valencia,Barcelona,1,1,null,null,null,null,null,null,1,1,1,1,3,3,4,5,0.75,0.75,1,1.25;
SP1,07/10/2018,Valladolid,Huesca,1,0,null,null,null,null,null,null,2,2,1,1,3,3,16,5,0.75,0.75,3.2,1;
SP1,19/10/2018,Celta,Alaves,0,1,null,null,null,null,null,null,1,1,1,1,7,6,3,11,1.4,1.2,0.6,2.2;
SP1,20/10/2018,Barcelona,Sevilla,4,2,null,null,null,null,null,null,1,1,3,3,18,7,12,12,3.6,1.4,2.4,2.4;
SP1,20/10/2018,Real Madrid,Levante,1,2,null,null,null,null,null,null,1,1,2,2,8,3,7,4,1.6,0.6,1.4,0.8;
SP1,20/10/2018,Valencia,Leganes,1,1,null,null,null,null,null,null,1,1,1,1,4,4,8,4,0.8,0.8,1.6,0.8;
SP1,20/10/2018,Villarreal,Ath Madrid,1,1,null,null,null,null,null,null,1,1,1,1,2,5,4,4,0.4,1,0.8,0.8;
SP1,21/10/2018,Eibar,Ath Bilbao,1,1,null,null,null,null,null,null,1,1,1,1,6,7,4,4,1.2,1.4,1.33,1.33;
SP1,21/10/2018,Betis,Valladolid,0,1,null,null,null,null,null,null,2,2,2,2,4,6,3,5,0.8,1.2,0.6,1;
SP1,21/10/2018,Huesca,Espanol,0,2,null,null,null,null,null,null,1,1,1,1,1,5,6,6,0.25,1.25,1.2,1.2;
SP1,21/10/2018,Vallecano,Getafe,1,2,null,null,null,null,null,null,1,1,1,1,5,13,3,8,1.25,3.25,0.6,1.6;
SP1,22/10/2018,Sociedad,Girona,0,0,null,null,null,null,null,null,1,1,1,1,3,5,3,4,0.75,1.25,0.75,1;
SP1,24/10/2018,Vallecano,Ath Bilbao,1,1,null,null,null,null,null,null,1,1,1,1,6,14,5,5,1.2,2.8,1.25,1.25;
SP1,26/10/2018,Valladolid,Espanol,1,1,null,null,null,null,null,null,3,3,2,2,4,4,7,7,0.8,0.8,1.17,1.17;
SP1,27/10/2018,Ath Bilbao,Valencia,0,0,null,null,null,null,null,null,1,1,2,2,6,10,4,3,1,1.67,0.8,0.6;
SP1,27/10/2018,Ath Madrid,Sociedad,2,0,null,null,null,null,null,null,3,3,3,3,8,1,9,8,1.6,0.2,1.5,1.33;
SP1,27/10/2018,Celta,Eibar,4,0,null,null,null,null,null,null,1,1,2,2,11,6,10,4,1.83,1,2,0.8;
SP1,27/10/2018,Girona,Vallecano,2,1,null,null,null,null,null,null,1,1,1,1,8,11,6,4,1.33,1.83,1.2,0.8;
SP1,27/10/2018,Levante,Leganes,2,0,null,null,null,null,null,null,2,2,1,1,9,11,10,4,1.8,2.2,1.67,0.67;
SP1,28/10/2018,Alaves,Villarreal,2,1,null,null,null,null,null,null,2,2,1,1,6,3,5,6,1.2,0.6,1,1.2;
SP1,28/10/2018,Barcelona,Real Madrid,5,1,null,null,null,null,null,null,2,2,1,1,23,8,11,6,3.83,1.33,2.2,1.2;
SP1,28/10/2018,Getafe,Betis,2,0,null,null,null,null,null,null,1,1,1,1,4,3,3,1,0.8,0.6,0.6,0.2;
SP1,28/10/2018,Sevilla,Huesca,2,1,null,null,null,null,null,null,3,3,1,1,7,4,18,6,1.4,0.8,3,1;
SP1,03/11/2018,Leganes,Ath Madrid,1,1,null,null,null,null,null,null,3,3,1,1,6,5,5,5,1.2,1,0.83,0.83;
SP1,03/11/2018,Real Madrid,Valladolid,2,0,null,null,null,null,null,null,1,1,3,3,10,3,5,5,1.67,0.5,0.83,0.83;
SP1,03/11/2018,Valencia,Girona,0,1,null,null,null,null,null,null,1,1,1,1,4,5,3,5,0.67,0.83,0.6,1;
SP1,03/11/2018,Vallecano,Barcelona,2,3,null,null,null,null,null,null,1,1,1,1,8,17,6,8,1.33,2.83,1.2,1.6;
SP1,04/11/2018,Betis,Celta,3,3,null,null,null,null,null,null,1,1,1,1,7,9,10,9,1.17,1.5,2,1.8;
SP1,04/11/2018,Eibar,Alaves,2,1,null,null,null,null,null,null,1,1,2,2,8,8,5,12,1.33,1.33,0.83,2;
SP1,04/11/2018,Huesca,Getafe,1,1,null,null,null,null,null,null,1,1,2,2,2,6,4,9,0.4,1.2,0.67,1.5;
